city,latitude,longitude,address
Stephenville Texas 76401,32.206407,-98.239935,377 - Wolfe Nursery Rd
Everett Washington 98201,47.965195,-122.200996,37th - Broadway
Puyallup Washington 98373,47.15663,-122.293529,37th - Meridian Puyallup
New York New York 10038,40.711725,-74.007334,38 Park Row
Lakeland Florida 33809,28.091093,-81.973583,3801 US Hwy 98
Sacramento California 95816,38.571542,-121.467437,3815 J Street - Sacramento
Austin Texas 78705,30.28172,-97.741929,38th - Guadalupe
Wheatridge Colorado 80033,39.769202,-105.128142,38th - Kipling-Wheat Ridge
Indianapolis Indiana 46208,39.864269,-86.157364,38th - Meridian
San Francisco California 941084609,37.78931,-122.406723,390 Stockton  Sutter (Union Sq)
San Francisco California 94111,37.791769,-122.398328,398 Market St.
New York New York 10016,40.750585,-73.979909,39th - Park
Glendale Arizona 85310,33.707314,-112.142539,39th - Pinnacle Peak  Phoenix
Portland Oregon 97232,45.526229,-122.622719,39th - Sandy
New York New York 10018,40.75533,-73.991179,39th and 8th
Gainesville Florida 32607,29.65323,-82.383459,39th and Newberry
Columbus Ohio 43206,39.962,-83.003014,3RD St. - German Village
New York New York 100168103,40.744678,-73.986931,3rd - 28th
